01;321,0000;777,9424;540,2316;0,0000;19,9388;217,7720;13283,9300;2992,1000;13615,2200;0,0000;744,5400;136,6900;192,0000;4635,0400;2137,3300;7383,0500;0,0000;45119,9000;314,8300;45434,7300
02;780,0000;2428,5932;2424,3949;0,0000;0,0000;4,1983;148045,0300;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;150,1000;0,0000;0,0000;0,0000;148195,1300;9149,6000;157344,7300
03;134,0000;609,5174;539,3517;0,0000;9,3103;60,8554;6569,5600;12854,8000;3211,1200;0,0000;193,0000;99,0900;0,0000;354,3300;522,5000;1159,4000;0,0000;24963,8000;536,6200;25500,4200
04;69,0000;777,9662;285,6060;0,0000;444,4527;47,9075;1580,0800;4834,6900;6915,9500;0,0000;2916,3900;6680,0600;15948,4300;393,2800;826,5000;2444,0000;0,0000;42539,3800;1177,1700;43716,5500
05;110,0000;137,7478;0,0000;0,0000;105,2704;32,4774;0,0000;0,0000;0,0000;0,0000;1542,3500;2564,4400;1465,2500;105,2200;215,4500;6,5500;0,0000;5899,2600;408,7400;6308,0000
06;43,0000;84,2605;51,3260;0,0000;27,9030;5,0315;576,8000;551,0000;256,5000;0,0000;269,1300;493,6600;262,8000;3,4500;123,6200;14,9000;0,0000;2551,8600;40,9000;2592,7600
07;1751,0000;10436,2032;2677,5407;0,0000;6977,6413;781,0212;10335,1700;100058,8800;7025,9200;1985,0300;100748,1500;220600,9200;175998,4600;21764,9000;20976,6000;3363,1100;0,0000;662857,1400;14450,3700;677307,5100
09;29,0000;63,7400;0,0000;0,0000;50,1042;13,6358;0,0000;0,0000;0,0000;0,0000;206,0000;1578,5800;350,5000;12,1300;214,2500;7,2000;0,0000;2368,6600;31,8800;2400,5400
10;2582,0000;7091,3031;6987,5225;0,0000;0,0000;103,7806;328652,8200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;62,6500;62,9100;43,6600;0,0000;328822,0400;9282,9600;338105,0000
11;5408,0000;64370,1712;19639,5411;0,0000;41610,8456;3119,7845;116706,6300;548085,7400;62301,5900;38,6500;584107,9400;1793488,2800;209395,6900;44209,9200;160262,6600;12558,4900;0,0000;3531155,5900;56656,4300;3587812,0200
12;143,0000;454,1189;286,5380;0,0000;50,3567;117,2242;398,3400;10499,2000;1888,7200;0,0000;222,0500;1028,3800;181,4200;128,4100;1474,9700;240,5300;0,0000;16062,0200;536,0100;16598,0300
13;1133,0000;10312,7723;6833,7657;0,0000;3235,2221;243,7845;19478,2800;34984,4400;281760,8200;56,5500;17066,2900;59417,8500;149504,1300;6831,1100;2487,8200;1854,7500;0,0000;573442,0400;21251,0800;594693,1200
14;1,0000;4,9000;0,0000;0,0000;4,9000;0,0000;0,0000;0,0000;0,0000;0,0000;73,4500;59,5000;0,0000;0,0000;0,0000;0,0000;0,0000;132,9500;0,0000;132,9500
15;6,0000;7,5805;1,6350;0,0000;5,2081;0,7374;18,4000;48,3000;24,5000;0,0000;23,4000;49,5000;0,0000;2,4000;8,0000;0,0000;0,0000;174,5000;5,5000;180,0000
16;2844,0000;39155,4221;146,9780;37890,4429;404,7334;713,2678;4061,9100;0,0000;3599,9600;0,0000;6269,9900;15154,6500;1295,3400;10810,9200;16305,8400;575,4800;3606843,0700;3664917,1600;4054,8100;3668971,9700
17;3877,0000;38924,3041;1017,4234;35805,0725;1115,2487;986,5595;35513,8900;340,3900;36326,4300;0,0000;27030,0800;39394,8800;7385,8600;53481,3900;29280,0400;3168,9300;3920703,9600;4152625,8500;8540,5200;4161166,3700
18;550,0000;4169,5045;4071,2221;0,0000;61,6540;36,6284;162136,7300;21632,2000;15761,9700;0,0000;1118,5800;995,5600;407,5000;181,1000;323,2300;155,2800;0,0000;202712,1500;456,7300;203168,8800
19;239,0000;127,4322;0,0000;0,0000;73,1581;54,2741;0,0000;0,0000;0,0000;0,0000;675,8100;1213,7700;389,0300;16,0000;1002,2000;26,5000;0,0000;3323,3100;0,9300;3324,2400
21;1490,0000;9669,4915;9580,6468;0,0000;28,4374;60,4073;105022,0500;163727,8900;943,2200;56,7000;124,7000;179,4200;7,0000;361,6200;319,6700;34,7900;0,0000;270777,0600;3089,3600;273866,4200
